scan_result_id,review_status,review_note,reviewed_at
0c4c9fe9e4fe7f42,reviewed,"Officiel side beskriver Nørrebro Puljen og dens ansøgningsrunder.",2026-07-27
e043428a9a6c49d6,reviewed,"Officiel beskrivelse af ansøgningsprocessen hos Ole Kirk's Fond.",2026-07-27
4765d5a80582f625,reviewed,"Aktuel Hjertepulje med beløbsgrænse og ansøgningsmålgruppe.",2026-07-27
cd520878694ab377,reviewed,"Direkte ansøgningsportal hos Ole Kirk's Fond.",2026-07-27
4f6f739927191a38,reviewed,"Officiel side med ansøgningsfrister og forløb.",2026-07-27
20b5bbab75c08f9c,reviewed,"Relevant officiel kravside for forskningsansøgninger.",2026-07-27
60978f99be35162d,reviewed,"Direkte login til TrygFondens ansøgningssystem.",2026-07-27
382be87eb21ed74f,reviewed,"Officiel og relevant vejledning til ansøgere.",2026-07-27
0c2dc2db3ab2b28d,reviewed,"Officiel oversigt over aktuelle og tidligere særpuljer.",2026-07-27
df7633bdee3f5c95,reviewed,"Crawlerfundet matcher den officielle frist- og forløbsside.",2026-07-27
40972caa748c9aec,ignored,"TrygFonden-projekt om digitalt civilsamfund; ikke et åbent opslag.",2026-07-27
0e57a821676e8268,reviewed,"Officiel hovedindgang til at søge støtte hos TrygFonden.",2026-07-27
bfbb1894f5f64a55,ignored,"Projekt- og donationsarkiv med tidligere bevillinger; ikke særpuljens ansøgningsside.",2026-07-27
38be0f9b266fa6f8,reviewed,"Direkte ansøgningsportal til Tuborgfondet.",2026-07-27
b40b2357adc59e23,reviewed,"Aktuel Drømmepulje med løbende ansøgning og beløbsgrænse.",2026-07-27
bd7a232a1cf21eaa,ignored,"Generisk navigationslink til forsiden og dublet af sidefundet.",2026-07-27
090d59bf98aac310,reviewed,"Forsiden beskriver aktiv støtte til unge og giver adgang til ansøgning.",2026-07-27
0543a9511aa1c9a2,reviewed,"Officiel oversigt over VELUX FONDENs aktuelle opslag.",2026-07-27
84362e38ea9df0fb,ignored,"Generisk uddelingsområde; ikke et konkret aktuelt opslag.",2026-07-27
6141d5fe00c0612b,ignored,"Generisk uddelingsområde; ikke et konkret aktuelt opslag.",2026-07-27
a9bd45f3825b48e7,ignored,"Generisk uddelingsområde; ikke et konkret aktuelt opslag.",2026-07-27
46a0b5fd56051c92,reviewed,"Officiel oversigt over VILLUM FONDENs aktuelle opslag.",2026-07-27
c4fca593bc5b79aa,ignored,"Generisk uddelingsområde; ikke et konkret aktuelt opslag.",2026-07-27
37f15590bdf787d3,ignored,"Generisk uddelingsområde; ikke et konkret aktuelt opslag.",2026-07-27
d903847aed92e01d,ignored,"Uddelingsstrategi og ikke en ansøgningsmulighed.",2026-07-27
940bda0bc84dc532,ignored,"Generisk uddelingsområde; ikke et konkret aktuelt opslag.",2026-07-27
7b841bd1028a1507,reviewed,"Direkte link til Velliv Foreningens ansøgningssystem.",2026-07-27
7108cb6694157236,ignored,"Dublet af samme ansøgningsportal med ekstra URL-fragment.",2026-07-27
238dfa7d9519ac8f,reviewed,"Officiel støtteindgang med aktuelle programmer og frister.",2026-07-27
c03db61e0871b0b7,ignored,"Beskrivelse af uddelingsudvalg; ikke et opslag eller en ansøgningsindgang.",2026-07-27
81ea51a106dcab18,reviewed,"Sideindholdet beskriver aktuel ansøgningsbehandling og frister.",2026-07-27
300481b7e2f7ea52,ignored,"Oversigt over allerede bevilgede indsatser.",2026-07-27
d4dbe17c97246827,reviewed,"Officielt programområde med forandringsmissioner og adgang til støtte.",2026-07-27
d4c116b004ce7918,reviewed,"Officiel indgang til ansøgning og puljekriterier.",2026-07-27
bdbac59b8f5fa3b0,ignored,"Generel uddelingsstrategi; ikke et selvstændigt opslag.",2026-07-27
5414970b641be7ab,reviewed,"Officiel oversigt over åbne uddelingspuljer og kriterier.",2026-07-27
